expected_d,fit_d,P,code_name,parameter_label,fit_max_p,used_for_fit,p,y,yerr,failures,shots,fit_y,log_residual
6,6,21,cornucopia_p21_d6,"[[252,130,6]]",0.0025,True,0.001,3.350522576925736e-06,2.073921409973573e-07,261,100000,3.344958384775396e-06,0.001662074304471517
6,6,21,cornucopia_p21_d6,"[[252,130,6]]",0.0025,True,0.0015,1.606160252040196e-05,4.5447254774742e-07,1249,100000,1.614188924834151e-05,-0.004986222913935023
6,6,21,cornucopia_p21_d6,"[[252,130,6]]",0.0025,True,0.002,5.614606477592451e-05,8.579170227844079e-07,4283,100000,5.58668047860959e-05,0.004986222913673899
6,6,21,cornucopia_p21_d6,"[[252,130,6]]",0.0025,True,0.0025,0.0001624196970130764,3.325787558426091e-06,2385,20000,0.0001626898750838817,-0.001662074304732641
6,6,21,cornucopia_p21_d6,"[[252,130,6]]",0.0025,False,0.003,0.0003868238782304405,5.358103164922037e-06,5212,20000,0.0004280300997856837,-0.1012240252802261
6,6,21,cornucopia_p21_d6,"[[252,130,6]]",0.0025,False,0.004,0.001190149560963634,0.0001081954146330577,121,200,0.002504440929949813,-0.7439865472631064
8,8,48,cornucopia_p48_d8,"[[576,292,8]]",0.0025,True,0.001,6.849356141255492e-09,1.977238805964737e-09,12,1000000,6.955543542021007e-09,-0.01538431970374177
8,8,48,cornucopia_p48_d8,"[[576,292,8]]",0.0025,True,0.0015,7.277860968951169e-08,1.019104376914712e-08,51,400000,6.949599534479478e-08,0.04615295910956263
8,8,48,cornucopia_p48_d8,"[[576,292,8]]",0.0025,True,0.002,7.024866658484669e-07,6.334108953543297e-08,123,100000,7.356683304161641e-07,-0.04615295911039574
8,8,48,cornucopia_p48_d8,"[[576,292,8]]",0.0025,True,0.0025,1.036750940065089e-05,1.221822700202587e-06,72,4000,1.020923293110438e-05,0.01538431970290866
8,8,48,cornucopia_p48_d8,"[[576,292,8]]",0.0025,False,0.003,6.235934891797316e-05,4.334274366870617e-06,207,2000,0.0002042174091573711,-1.186271554084026
