code_name,parameter_label,P,expected_d,p,cycles,observables,x_shots,z_shots,x_failures,z_failures,failures,x_LER,z_LER,LER,LER_per_cycle_per_logical,yerr
cornucopia_p21_d6,"[[252,130,6]]",21,6,0.001,6,130,50000,50000,142,119,261,0.00284,0.00238,0.0026100000000000003,3.3505225769257355e-06,2.0739214099735727e-07
cornucopia_p21_d6,"[[252,130,6]]",21,6,0.0015,6,130,50000,50000,607,642,1249,0.0121,0.0128,0.01245,1.606160252040196e-05,4.5447254774741996e-07
cornucopia_p21_d6,"[[252,130,6]]",21,6,0.002,6,130,50000,50000,2085,2198,4283,0.0417,0.044,0.04285,5.6146064775924514e-05,8.579170227844079e-07
cornucopia_p21_d6,"[[252,130,6]]",21,6,0.0025,6,130,10000,10000,1204,1181,2385,0.12,0.118,0.119,0.0001624196970130764,3.3257875584260906e-06
cornucopia_p21_d6,"[[252,130,6]]",21,6,0.003,6,130,10000,10000,2641,2571,5212,0.264,0.257,0.2605,0.00038682387823044047,5.358103164922037e-06
cornucopia_p21_d6,"[[252,130,6]]",21,6,0.004,6,130,100,100,61,60,121,0.61,0.6,0.605,0.0011901495609636344,0.00010819541463305767
cornucopia_p48_d8,"[[576,292,8]]",48,8,0.001,6,292,500000,500000,4,8,12,8e-06,1.6e-05,1.2e-05,6.8493561412554924e-09,1.9772388059647375e-09
cornucopia_p48_d8,"[[576,292,8]]",48,8,0.0015,6,292,200000,200000,19,32,51,9.5e-05,0.00016,0.0001275,7.277860968951169e-08,1.0191043769147115e-08
cornucopia_p48_d8,"[[576,292,8]]",48,8,0.002,6,292,50000,50000,76,47,123,0.00152,0.00094,0.00123,7.024866658484669e-07,6.334108953543297e-08
cornucopia_p48_d8,"[[576,292,8]]",48,8,0.0025,6,292,2000,2000,34,38,72,0.017,0.019,0.018000000000000002,1.0367509400650885e-05,1.2218227002025868e-06
cornucopia_p48_d8,"[[576,292,8]]",48,8,0.003,6,292,1000,1000,99,108,207,0.099,0.108,0.10350000000000001,6.235934891797316e-05,4.3342743668706174e-06
cornucopia_p48_d8,"[[576,292,8]]",48,8,0.004,6,292,100,100,61,67,128,0.61,0.67,0.64,0.000582964283958772,5.152724979710097e-05
cornucopia_p75_d10,"[[900,454,10]]",75,10,0.001,6,454,10000000,10000000,13,9,22,1.3e-06,9e-07,1.1e-06,4.038181368496122e-10,8.609431605372525e-11
cornucopia_p75_d10,"[[900,454,10]]",75,10,0.0015,6,454,1000000,1000000,11,18,29,1.1e-05,1.8e-05,1.45e-05,5.323092910214213e-09,9.884735381100954e-10
cornucopia_p75_d10,"[[900,454,10]]",75,10,0.002,6,454,50000,50000,14,9,23,0.00028,0.00018,0.00023,8.444436282824802e-08,1.7607866835555163e-08
cornucopia_p75_d10,"[[900,454,10]]",75,10,0.0025,6,454,2000,2000,15,22,37,0.0075,0.011,0.00925,3.411538568204724e-06,5.608534857660253e-07
cornucopia_p75_d10,"[[900,454,10]]",75,10,0.003,6,454,1000,1000,123,104,227,0.123,0.104,0.11349999999999999,4.42259505896689e-05,2.9353794384031776e-06
cornucopia_p75_d10,"[[900,454,10]]",75,10,0.004,6,454,100,100,85,82,167,0.85,0.82,0.835,0.0006612386293265457,5.1168181362190947e-05
cornucopia_p87_d12,"[[1044,526,12]]",87,12,0.0015,6,526,2000000,2000000,3,3,6,1.5e-06,1.5e-06,1.5e-06,4.752855274539482e-10,1.940345040652898e-10
cornucopia_p87_d12,"[[1044,526,12]]",87,12,0.00175,6,526,1000000,1000000,14,16,30,1.4e-05,1.6e-05,1.4999999999999999e-05,4.752887346475947e-09,8.677545376485828e-10
cornucopia_p87_d12,"[[1044,526,12]]",87,12,0.002,6,526,250000,250000,32,42,74,0.000128,0.000168,0.000148,4.6898273006967116e-08,5.451813498222925e-09
cornucopia_p87_d12,"[[1044,526,12]]",87,12,0.0025,6,526,2000,2000,15,17,32,0.0075,0.0085,0.008,2.545044827674717e-06,4.4990461401813517e-07
cornucopia_p87_d12,"[[1044,526,12]]",87,12,0.003,6,526,1000,1000,114,98,212,0.114,0.098,0.10600000000000001,3.55030148128189e-05,2.4383570682837323e-06
cornucopia_p87_d12,"[[1044,526,12]]",87,12,0.004,6,526,100,100,91,84,175,0.91,0.84,0.875,0.0006586681354670926,4.9790630941957984e-05
cornucopia_p147_d14,"[[1764,886,14]]",147,14,0.0015,7,886,5000000,5000000,4,3,7,8e-07,6e-07,7e-07,1.1286685665279118e-10,4.2659661994980206e-11
cornucopia_p147_d14,"[[1764,886,14]]",147,14,0.00175,7,886,1000000,1000000,6,8,14,6e-06,8e-06,7e-06,1.1286721212776472e-09,3.016503128445945e-10
cornucopia_p147_d14,"[[1764,886,14]]",147,14,0.002,7,886,200000,200000,18,23,41,9e-05,0.000115,0.0001025,1.652777372410502e-08,2.581204598137137e-09
cornucopia_p147_d14,"[[1764,886,14]]",147,14,0.0025,7,886,1000,1000,12,15,27,0.012,0.015,0.0135,2.191541216671783e-06,4.2176230379520457e-07
cornucopia_p192_d16,"[[2304,1156,16]]",192,16,0.0015,8,1156,10000000,10000000,3,2,5,3e-07,2e-07,2.5e-07,2.703287535106251e-11,1.2089469382450852e-11
cornucopia_p192_d16,"[[2304,1156,16]]",192,16,0.00175,8,1156,2000000,2000000,13,11,24,6.5e-06,5.5e-06,6e-06,6.487908734997428e-10,1.324338824874132e-10
cornucopia_p192_d16,"[[2304,1156,16]]",192,16,0.002,8,1156,200000,200000,27,30,57,0.000135,0.00015,0.0001425,1.540983488231196e-08,2.0410824918651792e-09
cornucopia_p192_d16,"[[2304,1156,16]]",192,16,0.0025,8,1156,1000,1000,24,20,44,0.024,0.02,0.022,2.40544790138217e-06,3.6263491552874894e-07
cornucopia_p192_d16,"[[2304,1156,16]]",192,16,0.003,8,1156,1000,1000,289,265,554,0.289,0.265,0.277,3.5071406699166434e-05,1.4900412902586616e-06
cornucopia_p192_d16,"[[2304,1156,16]]",192,16,0.004,8,1156,200,100,198,98,296,0.99,0.98,0.985,0.0004540172617239156,2.6389217312169898e-05
cornucopia_p237_d18,"[[2844,1426,18]]",237,18,0.00175,8,1426,2000000,2000000,6,5,11,3e-06,2.5e-06,2.75e-06,2.410592374584042e-10,7.268209480897386e-11
cornucopia_p237_d18,"[[2844,1426,18]]",237,18,0.001875,8,1426,500000,500000,5,13,18,1e-05,2.6e-05,1.8e-05,1.5778543116885702e-09,3.719038278398068e-10
cornucopia_p237_d18,"[[2844,1426,18]]",237,18,0.002,8,1426,100000,100000,8,10,18,8e-05,0.0001,9e-05,7.8895555652148e-09,1.8595860802371503e-09
cornucopia_p237_d18,"[[2844,1426,18]]",237,18,0.0025,8,1426,1000,1000,28,26,54,0.028,0.026,0.027,2.3992955785696994e-06,3.26502772756195e-07
