code_name,parameter_label,P,expected_d,p,cycles,observables,x_shots,z_shots,x_failures,z_failures,failures,x_LER,z_LER,LER,LER_per_cycle_per_logical,yerr
surface_d11,"[[121,1,11]]",,11,0.002,6,1,10000000,10000000,41,37,78,4.1e-06,3.7e-06,3.9e-06,6.500010562525173e-07,7.359812681644548e-08
surface_d11,"[[121,1,11]]",,11,0.003,6,1,2000000,2000000,96,70,166,4.8e-05,3.5e-05,4.15e-05,6.916786270394407e-06,5.368467299964964e-07
surface_d13,"[[169,1,13]]",,13,0.002,6,1,15000000,15000000,6,7,13,4e-07,4.67e-07,4.3349999999999996e-07,7.225001305015971e-08,2.003854820809948e-08
surface_d13,"[[169,1,13]]",,13,0.0025,6,1,5000000,5000000,15,13,28,3e-06,2.6e-06,2.8000000000000003e-06,4.666672111120428e-07,8.819181325932452e-08
surface_d13,"[[169,1,13]]",,13,0.003,6,1,2000000,2000000,14,19,33,7e-06,9.5e-06,8.25e-06,1.3750047265863301e-06,2.3935759973215354e-07
surface_d13,"[[169,1,13]]",,13,0.0035,6,1,1000000,1000000,44,28,72,4.4e-05,2.8e-05,3.6e-05,6.00009000198005e-06,7.071173880216165e-07
surface_d19,"[[361,1,19]]",,19,0.003,8,1,20000000,20000000,3,4,7,1.5e-07,2e-07,1.75e-07,2.187500167480487e-08,8.267973480093586e-09
surface_d19,"[[361,1,19]]",,19,0.0035,8,1,10000000,10000000,12,10,22,1.2e-06,1e-06,1.1e-06,1.3750006617192049e-07,2.9315112606797285e-08
surface_d19,"[[361,1,19]]",,19,0.004,8,1,10000000,10000000,32,41,73,3.2e-06,4.1e-06,3.6499999999999998e-06,4.5625072857588083e-07,5.340010868159149e-08
surface_d19,"[[361,1,19]]",,19,0.0045,8,1,1000000,1000000,13,10,23,1.3e-05,1e-05,1.15e-05,1.4375072324738586e-06,2.997409782820938e-07
