family,distance,data_qubits,check_qubits,total_physical_qubits,logical_qubits,physical_overhead_per_logical,cycle_time_ms
Cornucopia,6,252,126,378,130,2.90769230769,10.41
Cornucopia,8,576,288,864,292,2.95890410959,11.92
Cornucopia,10,900,450,1350,454,2.97356828194,12.87
Cornucopia,12,1044,522,1566,526,2.97718631179,13.22
Cornucopia,14,1764,882,2646,886,2.98645598194,14.68
Cornucopia,16,2304,1152,3456,1156,2.98961937716,15.48
Cornucopia,18,2844,1422,4266,1426,2.99158485273,16.18
BB,12,144,144,288,12,24,
BB,18,288,288,576,12,48,
Surface,7,49,48,97,1,97,
Surface,9,81,80,161,1,161,
Surface,11,121,120,241,1,241,
Surface,13,169,168,337,1,337,
Surface,19,361,360,721,1,721,
